"CODIBGE","MUNICIPIO","PORTE","RA","ANO","PREST","NATJUR","in024","in046"
"3500105","Adamantina","Mais de 20 mil a 50 mil","RA Presidente Prudente",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","97.37"
"3500204","Adolfo","Até 5 mil","RA Săo José do Rio Preto",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","100"
"3500402","Águas da Prata","Mais de 5 mil a 10 mil","RA Campinas",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","93.07"
"3500501","Águas de Lindóia","Mais de 10 mil a 20 mil","RA Campinas",2018,"Saneamento Ambiental de Águas de Lindóia","Autarquia","99.46","60.91"
"3500550","Águas de Santa Bárbara","Mais de 5 mil a 10 mil","RA Sorocaba",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","67.21","74.46"
"3500600","Águas de Săo Pedro","Até 5 mil","RA Campinas",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","92.46","95.9"
"3500709","Agudos","Mais de 20 mil a 50 mil","RA Bauru",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","65.67"
"3500758","Alambari","Mais de 5 mil a 10 mil","RA Sorocaba",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","61.81","54.22"
"3500808","Alfredo Marcondes","Até 5 mil","RA Presidente Prudente",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","93.97"
"3500907","Altair","Até 5 mil","RA Barretos",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","98.64"
"3501004","Altinópolis","Mais de 10 mil a 20 mil","RA Ribeirăo Preto",2018,"Prefeitura Municipal de Altinópolis","Administraçăo pública direta","100","82.15"
"3501103","Alto Alegre","Até 5 mil","RA Araçatuba",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","100"
"3501152","Alumínio","Mais de 10 mil a 20 mil","RA Sorocaba",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","70.64","62.86"
"3501202","Álvares Florence","Até 5 mil","RA Săo José do Rio Preto",2018,"Datema Ambiental Saneamento Básico LTDA","Empresa privada","99.92","80"
"3501301","Álvares Machado","Mais de 20 mil a 50 mil","RA Presidente Prudente",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","100"
"3501400","Álvaro de Carvalho","Até 5 mil","RA Marília",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","96.87","100"
"3501509","Alvinlândia","Até 5 mil","RA Marília",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","99"
"3501608","Americana","Mais de 100 mil a 500 mil","RA Campinas",2018,"Departamento de Água e Esgoto de Americana","Autarquia","100","64.56"
"3501707","Américo Brasiliense","Mais de 20 mil a 50 mil","RA Central",2018,"Prefeitura Municipal de Américo Brasiliense","Administraçăo pública direta","99.76","0"
"3501806","Américo de Campos","Mais de 5 mil a 10 mil","RA Săo José do Rio Preto",2018,"Prefeitura Municipal de Américo de Campos","Administraçăo pública direta","99.98","83.84"
"3501905","Amparo","Mais de 50 mil a 100 mil","RA Campinas",2018,"Serviço Autônomo de Água e Esgoto","Autarquia","95","51.06"
"3502101","Andradina","Mais de 50 mil a 100 mil","RA Araçatuba",2018,"Águas de Andradina","Empresa privada","98.61","100"
"3502200","Angatuba","Mais de 20 mil a 50 mil","RA Itapeva",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","90.38","82.68"
"3502309","Anhembi","Mais de 5 mil a 10 mil","RA Sorocaba",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","96.8","100"
"3502408","Anhumas","Até 5 mil","RA Presidente Prudente",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","97.95"
"3502507","Aparecida","Mais de 20 mil a 50 mil","RA Săo José dos Campos",2018,"Serviço Autônomo de Água e Esgotos e Resíduos Sólidos","Autarquia","87","0"
"3502606","Aparecida d'Oeste","Até 5 mil","RA Săo José do Rio Preto",2018,"Companhia de Saneamento Básico do Estado de Săo Paulo","Sociedade de economia mista com administraçăo pública","100","95.91"
