"CODIBGE","ANO","OBITOS_TOTAIS","OBITOS_7","OBITOS_364","OBITOS_27","NASCIDOS_TOTAL","MORTALIDADE"
3500000,2000,135,108,11,16,1868,"0.07226980728051392"
3500000,2001,18,15,3,0,1303,"0.013814274750575594"
3500000,2002,17,15,1,1,1221,"0.013923013923013924"
3500000,2003,7,5,1,1,927,"0.007551240560949299"
3500000,2004,11,10,0,1,538,"0.020446096654275093"
3500000,2005,1,1,0,0,195,"0.005128205128205128"
3500000,2006,15,12,3,0,260,"0.057692307692307696"
3500000,2007,5,4,1,0,204,"0.024509803921568627"
3500000,2008,20,16,3,1,63,"0.31746031746031744"
3500000,2009,3,3,0,0,52,"0.057692307692307696"
3500000,2010,5,2,1,2,57,"0.08771929824561403"
3500000,2011,7,7,0,0,11,"0.6363636363636364"
3500000,2012,4,4,0,0,53,"0.07547169811320754"
3500000,2013,5,4,1,0,74,"0.06756756756756757"
3500000,2014,2,2,0,0,68,"0.029411764705882353"
3500000,2015,10,7,1,2,335,"0.029850746268656716"
3500000,2016,3,3,0,0,295,"0.010169491525423728"
3500000,2017,4,4,0,0,279,"0.014336917562724014"
3500000,2018,8,6,1,1,231,"0.03463203463203463"
3500000,2019,4,3,0,1,275,"0.014545454545454545"
3500000,2020,6,6,0,0,321,"0.018691588785046728"
3500000,2021,6,4,2,0,175,"0.03428571428571429"
3500000,2022,4,4,0,0,188,"0.02127659574468085"
3500105,2000,3,2,1,0,430,"0.0069767441860465115"
3500105,2001,6,3,1,2,398,"0.01507537688442211"
3500105,2002,11,8,0,3,404,"0.027227722772277228"
3500105,2003,7,4,1,2,353,"0.019830028328611898"
3500105,2004,8,4,3,1,414,"0.01932367149758454"
3500105,2005,6,4,2,0,386,"0.015544041450777202"
3500105,2006,8,5,1,2,367,"0.021798365122615803"
3500105,2007,11,9,1,1,364,"0.03021978021978022"
3500105,2008,8,5,3,0,350,"0.022857142857142857"
3500105,2009,1,1,0,0,344,"0.0029069767441860465"
3500105,2010,2,2,0,0,381,"0.005249343832020997"
3500105,2011,5,2,3,0,361,"0.013850415512465374"
3500105,2012,2,1,0,1,355,"0.005633802816901409"
3500105,2013,4,2,1,1,352,"0.011363636363636364"
3500105,2014,2,2,0,0,371,"0.005390835579514825"
3500105,2015,4,1,1,2,359,"0.011142061281337047"
3500105,2016,7,2,5,0,377,"0.01856763925729443"
3500105,2017,3,2,1,0,353,"0.0084985835694051"
3500105,2018,2,2,0,0,380,"0.005263157894736842"
3500105,2019,1,1,0,0,410,"0.0024390243902439024"
3500105,2020,1,1,0,0,392,"0.002551020408163265"
3500105,2021,5,3,1,1,356,"0.014044943820224719"
3500105,2022,4,2,1,1,388,"0.010309278350515464"
3500204,2000,2,2,0,0,56,"0.03571428571428571"
3500204,2001,0,0,0,0,46,"0"
3500204,2002,0,0,0,0,31,"0"
3500204,2003,0,0,0,0,41,"0"
3500204,2004,1,0,0,1,35,"0.02857142857142857"
3500204,2005,0,0,0,0,42,"0"
3500204,2006,0,0,0,0,35,"0"
3500204,2007,0,0,0,0,33,"0"
3500204,2008,0,0,0,0,32,"0"
3500204,2009,0,0,0,0,36,"0"
3500204,2010,0,0,0,0,33,"0"
3500204,2011,0,0,0,0,25,"0"
3500204,2012,1,0,1,0,49,"0.02040816326530612"
3500204,2013,0,0,0,0,43,"0"
3500204,2014,1,1,0,0,55,"0.01818181818181818"
3500204,2015,1,0,1,0,53,"0.018867924528301886"
3500204,2016,0,0,0,0,46,"0"
3500204,2017,0,0,0,0,41,"0"
3500204,2018,1,0,1,0,46,"0.021739130434782608"
3500204,2019,NULL,NULL,NULL,NULL,41,NULL
3500204,2020,NULL,NULL,NULL,NULL,47,NULL
3500204,2021,1,1,0,0,48,"0.020833333333333332"
3500204,2022,0,0,0,0,58,"0"
3500303,2000,6,3,2,1,558,"0.010752688172043012"
3500303,2001,8,5,3,0,499,"0.01603206412825651"
3500303,2002,8,5,3,0,497,"0.01609657947686117"
3500303,2003,9,5,2,2,491,"0.018329938900203666"
3500303,2004,11,8,3,0,469,"0.023454157782515993"
3500303,2005,6,4,2,0,490,"0.012244897959183673"
3500303,2006,6,3,3,0,523,"0.011472275334608031"
3500303,2007,10,8,1,1,481,"0.02079002079002079"
3500303,2008,8,5,1,2,474,"0.016877637130801686"
3500303,2009,9,5,3,1,458,"0.019650655021834062"
3500303,2010,9,4,5,0,483,"0.018633540372670808"
3500303,2011,4,3,1,0,413,"0.009685230024213076"
3500303,2012,6,4,1,1,466,"0.012875536480686695"
3500303,2013,3,1,1,1,415,"0.007228915662650603"
3500303,2014,6,4,1,1,398,"0.01507537688442211"
3500303,2015,4,1,2,1,422,"0.009478672985781991"
3500303,2016,9,5,0,4,399,"0.022556390977443608"
3500303,2017,7,5,2,0,450,"0.015555555555555555"
3500303,2018,3,2,0,1,456,"0.006578947368421052"
3500303,2019,3,3,0,0,416,"0.007211538461538462"
3500303,2020,4,3,1,0,393,"0.010178117048346057"
3500303,2021,5,2,3,0,375,"0.013333333333333334"
3500303,2022,3,2,0,1,390,"0.007692307692307693"
3500402,2000,0,0,0,0,81,"0"
3500402,2001,1,0,1,0,84,"0.011904761904761904"
3500402,2002,2,0,1,1,78,"0.02564102564102564"
3500402,2003,1,1,0,0,80,"0.0125"
3500402,2004,0,0,0,0,61,"0"
3500402,2005,0,0,0,0,73,"0"
3500402,2006,0,0,0,0,69,"0"
3500402,2007,0,0,0,0,92,"0"
3500402,2008,0,0,0,0,82,"0"
3500402,2009,2,2,0,0,92,"0.021739130434782608"
3500402,2010,0,0,0,0,71,"0"
3500402,2011,2,2,0,0,76,"0.02631578947368421"
3500402,2012,0,0,0,0,69,"0"
3500402,2013,1,1,0,0,84,"0.011904761904761904"
3500402,2014,1,1,0,0,95,"0.010526315789473684"
3500402,2015,0,0,0,0,74,"0"
3500402,2016,1,0,1,0,74,"0.013513513513513514"
3500402,2017,0,0,0,0,78,"0"
3500402,2018,2,2,0,0,91,"0.02197802197802198"
3500402,2019,NULL,NULL,NULL,NULL,42,NULL
3500402,2020,NULL,NULL,NULL,NULL,63,NULL
3500402,2021,0,0,0,0,66,"0"
3500402,2022,1,0,0,1,69,"0.014492753623188406"
