"COD_IBGE7","MUNICIPIO","ANO","IN023","IN049","IN051","IN053","IN024","IN046"
3500105,"Adamantina",2017,"100","24.37","135.05","12.54","100","97.36"
3500105,"Adamantina",2018,"100","23.77","132.27","12.7","100","97.37"
3500105,"Adamantina",2019,"100","17.9","93.81","12.89","100","98.36"
3500105,"Adamantina",2020,"100","21.69","118.91","12.86","100","98.72"
3500105,"Adamantina",2021,"100","20.42","107.94","12.53","100","98.94"
3500204,"Adolfo",2017,"100","12.37","56.63","12.04","100","100"
3500204,"Adolfo",2018,"100","10.8","47.76","11.86","100","100"
3500204,"Adolfo",2019,"100","8.76","37.75","11.83","100","100"
3500204,"Adolfo",2020,"100","8.94","39.79","12.2","100","100"
3500204,"Adolfo",2021,"100","12.37","53.48","11.42","100","100"
3500303,"Aguaн",2019,"99.54","91.93","733.23","1.75","97.31","0.14"
3500303,"Aguaн",2020,"100","93.39","1520.36","2.93","99.4","7.81"
3500303,"Aguaн",2021,"100","72.23","982.78","10.41","99.36","37.23"
3500402,"Бguas da Prata",2017,"100","25.12","131.16","11.54","99.07","90.8"
3500402,"Бguas da Prata",2018,"100","37.66","230.07","11.24","100","93.07"
3500402,"Бguas da Prata",2019,"100","34.44","204.64","11.5","100","94.57"
3500402,"Бguas da Prata",2020,"100","29.69","179.57","12.57","100","92.08"
3500402,"Бguas da Prata",2021,"100","31.09","174.16","11.42","100","93.76"
3500501,"Бguas de Lindуia",2017,"100","30.61","282.63","15.17","99.45","45.8"
3500501,"Бguas de Lindуia",2018,"100","42.16","414.9","13.45","99.46","60.91"
3500501,"Бguas de Lindуia",2019,"100","43.93","432.18","13.01","99.46","62.21"
3500501,"Бguas de Lindуia",2020,"100","50.46","525.19","12.11","100","66.34"
3500501,"Бguas de Lindуia",2021,"100","16.71","108.5","12.71","100","82.22"
3500550,"Бguas de Santa Bбrbara",2017,"96.85","36.68","217.43","11.28","66.49","74.46"
3500550,"Бguas de Santa Bбrbara",2018,"98.37","39.3","246.1","11.4","67.21","74.46"
3500550,"Бguas de Santa Bбrbara",2019,"98.44","47.41","357.32","11.88","67.55","75.92"
3500550,"Бguas de Santa Bбrbara",2020,"100","32.16","200.01","12.65","72.81","73.72"
3500550,"Бguas de Santa Bбrbara",2021,"100","39.52","239.33","10.99","74.11","73.48"
3500600,"Бguas de Sгo Pedro",2017,"97.18","42.71","426.91","16.08","92.44","97"
3500600,"Бguas de Sгo Pedro",2018,"97.19","40.51","398.13","16.43","92.46","95.9"
3500600,"Бguas de Sгo Pedro",2019,"97.19","29.93","257.79","16.92","92.47","94.59"
3500600,"Бguas de Sгo Pedro",2020,"97.19","25.48","194.74","15.89","92.5","98.45"
3500600,"Бguas de Sгo Pedro",2021,"97.19","30.38","241.75","15.41","92.5","98.73"
3500709,"Agudos",2017,"100","27.7","186.84","14.43","100","30"
3500709,"Agudos",2018,"100","28.72","196.43","14.45","100","65.67"
3500709,"Agudos",2019,"100","29.26","204.44","14.67","100","90.15"
3500709,"Agudos",2020,"100","29.7","214.71","15.1","100","100"
3500709,"Agudos",2021,"100","34.48","246.43","13.92","100","100"
3500758,"Alambari",2017,"100","34.23","199.07","11.45","62.11","55.22"
3500758,"Alambari",2018,"100","36.08","220.48","11.72","61.81","54.22"
3500758,"Alambari",2019,"100","31.5","182.09","11.87","64.02","65.13"
3500758,"Alambari",2020,"100","28.9","164.42","12.12","65","63.18"
3500758,"Alambari",2021,"100","36.06","197.53","10.5","65.53","67.62"
3500808,"Alfredo Marcondes",2017,"100","13.33","58.42","11.47","100","95.27"
3500808,"Alfredo Marcondes",2018,"100","11.37","50.39","11.82","100","93.97"
3500808,"Alfredo Marcondes",2019,"100","12.14","55.87","12.16","100","92.53"
3500808,"Alfredo Marcondes",2020,"100","18.3","93.53","12.57","100","91.29"
3500808,"Alfredo Marcondes",2021,"100","19.64","100.69","12.41","100","100"
3500907,"Altair",2017,"100","20.33","104.3","12.35","100","97.92"
3500907,"Altair",2018,"100","9.29","41.23","12.16","100","98.64"
3500907,"Altair",2019,"100","25.18","138.1","12.4","100","98.21"
3500907,"Altair",2020,"100","18.75","97.94","12.83","100","97.11"
3500907,"Altair",2021,"100","21.01","106.41","12.09","100","97.86"
3501004,"Altinуpolis",2017,"100","39.56","348.73","16.21","100","82.91"
3501004,"Altinуpolis",2018,"100","38.6","336.65","16.29","100","82.15"
3501004,"Altinуpolis",2019,"100","30.63","268.03","18.46","100","70.56"
3501004,"Altinуpolis",2020,"100","33.29","276.24","16.84","100","74.32"
3501004,"Altinуpolis",2021,"100","32.84","257.22","16","100","80.48"
3501103,"Alto Alegre",2017,"100","18.44","85.81","11.39","99.3","100"
3501103,"Alto Alegre",2018,"100","18.42","84.18","11.22","100","100"
3501103,"Alto Alegre",2019,"100","15.41","69.34","11.46","99.75","100"
3501103,"Alto Alegre",2020,"100","15.11","68.55","11.61","100","100"
3501103,"Alto Alegre",2021,"100","18.75","83.24","10.89","100","100"
3501152,"Alumнnio",2017,"83.16","31.11","209.33","13.12","70","34.05"
3501152,"Alumнnio",2018,"84.78","35.97","266.1","13.5","70.64","62.86"
3501152,"Alumнnio",2019,"90","45.02","381.61","13.31","71.44","68.56"
3501152,"Alumнnio",2020,"94.24","37.06","278.13","13.53","72.52","64.46"
3501152,"Alumнnio",2021,"100","38.7","270.05","12.3","72.87","63.57"
3501202,"Бlvares Florence",2017,"100","6.97","32.71","13.21","99.92","80.03"
3501202,"Бlvares Florence",2018,"100","10.13","49.35","13.3","99.92","80"
3501202,"Бlvares Florence",2019,"98.48","30.47","188.97","13.09","95.12","80"
3501202,"Бlvares Florence",2020,"99.35","24.32","116.4","10.98","95.96","80"
3501202,"Бlvares Florence",2021,"96.62","30.5","150.01","10.35","96.62","97.5"
3501301,"Бlvares Machado",2017,"100","21.91","118.74","12.41","100","100"
3501301,"Бlvares Machado",2018,"100","19.01","100.37","12.23","100","100"
3501301,"Бlvares Machado",2019,"100","16.44","85.26","12.41","100","100"
3501301,"Бlvares Machado",2020,"100","16.69","86.96","12.45","100","100"
3501301,"Бlvares Machado",2021,"100","19.34","100.45","12.05","100","99.46"
3501400,"Бlvaro de Carvalho",2017,"99.6","16.93","76.4","11.4","98.37","100"
3501400,"Бlvaro de Carvalho",2018,"99","19.02","86.73","11.23","96.87","100"
3501400,"Бlvaro de Carvalho",2019,"100","18.25","82.76","11.27","100","100"
3501400,"Бlvaro de Carvalho",2020,"100","13.92","60.72","11.42","100","100"
3501400,"Бlvaro de Carvalho",2021,"100","14.37","60.56","10.97","100","100"
3501509,"Alvinlвndia",2017,"100","33.2","184.07","10.97","99.62","99.77"
3501509,"Alvinlвndia",2018,"100","23.84","119.29","11.32","100","99"
3501509,"Alvinlвndia",2019,"100","22.09","106.89","11.22","100","100"
3501509,"Alvinlвndia",2020,"100","22.84","114.17","11.51","100","100"
3501509,"Alvinlвndia",2021,"100","25.97","119.77","10.2","100","99.99"
3501608,"Americana",2017,"100","46.89","416.02","10.88","100","43.68"
3501608,"Americana",2018,"100","48.81","468.35","11.15","100","64.56"
3501608,"Americana",2019,"100","48.01","468.71","11.43","100","53.13"
3501608,"Americana",2020,"100","48.13","488.78","11.84","100","54.62"
3501608,"Americana",2021,"100","50.24","522.56","11.61","100","63.15"
3501707,"Amйrico Brasiliense",2017,"100","32.91","296.58","16.39","100","0"
3501707,"Amйrico Brasiliense",2018,"99.76","8.22","57.47","17.52","99.76","0"
3501707,"Amйrico Brasiliense",2019,"98.42","50","861.62","26.11","98.42","0"
3501707,"Amйrico Brasiliense",2020,"97.15","10","85.79","23.4","97.15","0"
3501707,"Amйrico Brasiliense",2021,"99.52","8.12","68.64","23.59","99.52","0"
3501806,"Amйrico de Campos",2017,"99.8","5","25.56","14.77","99.8","79.82"
3501806,"Amйrico de Campos",2018,"99.98","4.98","25.42","14.75","99.98","83.84"
3501806,"Amйrico de Campos",2019,"100","7.72","40.84","14.84","100","82.83"
3501806,"Amйrico de Campos",2020,"100","7.5","40.16","15.07","100","81.08"
3501806,"Amйrico de Campos",2021,"99.92","6.48","35.32","15.5","99.92","77.62"
3501905,"Amparo",2017,"100","50.95","416.03","11.2","95","63.7"
3501905,"Amparo",2018,"100","54.49","489.33","11.35","95","51.06"
3501905,"Amparo",2019,"100","45.57","357.12","11.74","95","47.59"
3501905,"Amparo",2020,"100","45.37","352.52","11.72","95","50.78"
3501905,"Amparo",2021,"100","43.99","328.56","11.76","94.99","45.23"
3502002,"Analвndia",2017,"100","10","14.34","3.93","100","100"
3502002,"Analвndia",2019,"88.27","50.55","61.51","1.83","88.27","100"
3502002,"Analвndia",2020,"100","50.55","61.48","1.83","100","100"
3502002,"Analвndia",2021,"98.84","50.55","61.43","1.83","98.84","100"
3502101,"Andradina",2017,"100","36.62","247.62","12.17","100","100"
3502101,"Andradina",2018,"98.61","31.32","202.65","12.74","98.61","100"
3502101,"Andradina",2019,"100","29.25","187.07","13.11","100","97.11"
3502101,"Andradina",2020,"100","29.18","192.91","13.57","100","98.66"
3502101,"Andradina",2021,"100","22.58","131.03","13.03","100","95.33"
3502200,"Angatuba",2017,"100","24.55","120.27","11.09","89.21","82.91"
3502200,"Angatuba",2018,"100","33.07","182.1","11.05","90.38","82.68"
3502200,"Angatuba",2019,"100","33.75","191.71","11.28","92.67","80.44"
3502200,"Angatuba",2020,"100","29.89","161.19","11.34","93.97","78.9"
3502200,"Angatuba",2021,"100","33.58","172.4","10.23","94.79","79.17"
3502309,"Anhembi",2017,"100","42.77","254.66","10.31","97.49","100"
3502309,"Anhembi",2018,"100","45.51","280.09","10.15","96.8","100"
3502309,"Anhembi",2019,"100","33.81","182.54","10.82","95.77","100"
3502309,"Anhembi",2020,"100","29.12","144.85","10.67","96.35","100"
3502309,"Anhembi",2021,"100","30.92","146.63","9.92","96.21","100"
3502408,"Anhumas",2017,"100","7.91","34.69","12.01","100","98.36"
3502408,"Anhumas",2018,"100","8.84","38.99","12.01","100","97.95"
3502408,"Anhumas",2019,"100","5.79","25.06","12.19","100","97.34"
3502408,"Anhumas",2020,"100","17.02","82.96","12.09","100","99.49"
3502408,"Anhumas",2021,"100","12.07","54.54","11.9","100","99.49"
3502507,"Aparecida",2017,"100","55.17","707.43","15.92","86.92","0"
3502507,"Aparecida",2018,"100","53.07","675.49","16.51","87","0"
3502507,"Aparecida",2019,"100","48.88","600.34","17.8","87","0"
3502507,"Aparecida",2020,"100","31.35","333.24","21.21","87","0"
3502507,"Aparecida",2021,"100","55.33","558.49","13.15","87","0"
3502606,"Aparecida d'Oeste",2017,"100","15.57","72.86","11.93","100","96.3"
3502606,"Aparecida d'Oeste",2018,"100","17.87","87.11","12.09","100","95.91"
3502606,"Aparecida d'Oeste",2019,"100","16.78","80.91","12.12","100","95.75"
3502606,"Aparecida d'Oeste",2020,"100","13.49","65.35","12.66","100","94.79"
3502606,"Aparecida d'Oeste",2021,"100","16.61","78.51","11.92","100","97.51"
3502705,"Apiaн",2017,"100","32.72","177.12","10.92","67.85","64.95"
3502705,"Apiaн",2018,"100","30.08","153.45","10.69","69.96","66.44"
3502705,"Apiaн",2019,"100","34.26","184.38","10.58","72.13","66.4"
3502705,"Apiaн",2020,"100","30.79","156.03","10.46","74.65","67.61"
3502705,"Apiaн",2021,"100","29.08","138.19","10.07","77.57","70.84"
3502754,"Araзariguama",2017,"60.42","25.6","143.56","12.19","39.22","16.22"
3502754,"Araзariguama",2018,"60.3","20.43","109.84","12.5","39.25","31.16"
3502754,"Araзariguama",2019,"61.23","13.52","68.45","12.74","39.94","30.91"
3502754,"Araзariguama",2020,"62.6","21.53","121.93","12.91","40.94","40.05"
3502754,"Araзariguama",2021,"65.26","26.81","152.46","12.08","41.59","63.46"
3502804,"Araзatuba",2017,"100","36.65","294.48","12.88","98.9","100"
3502804,"Araзatuba",2018,"100","37.94","317.17","13.04","98.28","100"
3502804,"Araзatuba",2019,"100","36.97","316.06","13.14","98.94","100"
3502804,"Araзatuba",2020,"100","35.19","303.45","13.58","98.82","99.95"
3502804,"Araзatuba",2021,"100","34.11","281.33","13.13","98.56","99.62"
3502903,"Araзoiaba da Serra",2017,"100","29.93","177.05","11.53","39.78","32.74"
3502903,"Araзoiaba da Serra",2018,"100","28.75","169.47","11.68","40.65","33.18"
3502903,"Araзoiaba da Serra",2019,"100","20.9","114.13","11.98","45.02","33"
3502903,"Araзoiaba da Serra",2020,"97.37","18.23","98.3","12.17","46.57","33.57"
3502903,"Araзoiaba da Serra",2021,"100","20.29","108.56","11.78","48.45","24.01"
