"COD_IBGE","MUNICIPIO","CENSO2000","CENSO2010","CENSO2022","tc2000_2010","tc2010_2022"
"3500105","Adamantina",33497,33797,34687,"0.009","0.026"
"3500204","Adolfo",3684,3557,4351,"-0.034","0.223"
"3500303","Aguaí",28195,32148,32072,"0.14","-0.002"
"3500402","Águas da Prata",7131,7584,7369,"0.064","-0.028"
"3500501","Águas de Lindóia",1619,17266,17930,"9.665","0.038"
"3500550","Águas de Santa Bárbara",5224,5601,7177,"0.072","0.281"
"3500600","Águas de Săo Pedro",1883,2707,2780,"0.438","0.027"
"3500709","Agudos",32484,34524,37680,"0.063","0.091"
"3500758","Alambari",365,4884,6141,"12.381","0.257"
"3500808","Alfredo Marcondes",3697,3891,4445,"0.052","0.142"
"3500907","Altair",353,3815,3451,"9.807","-0.095"
"3501004","Altinópolis",15481,15607,16818,"0.008","0.078"
"3501103","Alto Alegre",4261,4102,3841,"-0.037","-0.064"
"3501152","Alumínio",15252,16839,17301,"0.104","0.027"
"3501202","Álvares Florence",4316,3897,3915,"-0.097","0.005"
"3501301","Álvares Machado",22661,23513,27255,"0.038","0.159"
"3501400","Álvaro de Carvalho",4109,465,4808,"-0.887","9.34"
"3501509","Alvinlândia",2837,3,2885,"-0.999","960.667"
"3501608","Americana",182593,210638,237240,"0.154","0.126"
"3501707","Américo Brasiliense",28287,34478,33019,"0.219","-0.042"
"3501806","Américo de Campos",5594,5706,5870,"0.02","0.029"
"3501905","Amparo",60404,65829,68008,"0.09","0.033"
"3502002","Analândia",3582,4293,4589,"0.198","0.069"
"3502101","Andradina",55161,55334,59783,"0.003","0.08"
"3502200","Angatuba",19297,2221,24022,"-0.885","9.816"
"3502309","Anhembi",4535,5653,5674,"0.247","0.004"
"3502408","Anhumas",3411,3738,4023,"0.096","0.076"
"3502507","Aparecida",34904,35007,32569,"0.003","-0.07"
"3502606","Aparecida d'Oeste",4935,445,4086,"-0.91","8.182"
"3502705","Apiaí",27162,25191,24585,"-0.073","-0.024"
"3502754","Araçariguama",11154,1708,21522,"-0.847","11.601"
"3502804","Araçatuba",169254,181579,200124,"0.073","0.102"
"3502903","Araçoiaba da Serra",19816,27299,32443,"0.378","0.188"
"3503000","Aramina",4763,5152,5420,"0.082","0.052"
"3503109","Arandu",6065,6123,6885,"0.01","0.124"
"3503158","Arapeí",2618,2493,2330,"-0.048","-0.065"
"3503208","Araraquara",182471,208662,242228,"0.144","0.161"
"3503307","Araras",104196,118843,130866,"0.141","0.101"
"3503356","Arco-Íris",2163,1925,2044,"-0.11","0.062"
"3503406","Arealva",7244,7841,8130,"0.082","0.037"
"3503505","Areias",36,3696,3577,"101.667","-0.032"
"3503604","Areiópolis",10296,10579,10130,"0.027","-0.042"
"3503703","Ariranha",7477,8547,7602,"0.143","-0.111"
"3503802","Artur Nogueira",33124,44177,51456,"0.334","0.165"
"3503901","Arujá",59185,74905,86678,"0.266","0.157"
"3503950","Aspásia",1861,1809,1842,"-0.028","0.018"
"3504008","Assis",87251,95144,101409,"0.09","0.066"
"3504107","Atibaia",1113,126603,158647,"112.749","0.253"
"3504206","Auriflama",13513,14202,13692,"0.051","-0.036"
"3504305","Avaí",4596,4959,4483,"0.079","-0.096"
